altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0,5,8,Chicago,137,True,K3_FULL,13169,2019-05-16 13:56:32,41.862378,,-87.651062,60608,Morgan Ave & 14th Pl,,Morgan Ave & 14th Pl,IN_SERVICE,1,In Service,False,15
0,2,12,Chicago,138,True,K3_FULL,13171,2019-05-16 13:56:57,41.904613,,-87.640552,60610,Clybourn Ave & Division St,,Clybourn Ave & Division St,IN_SERVICE,1,In Service,False,15
0,1,18,Chicago,140,True,K3_FULL,13173,2019-05-16 13:57:52,41.898969,,-87.629912,60610,Dearborn Pkwy & Delaware Pl,,Dearborn Pkwy & Delaware Pl,IN_SERVICE,1,In Service,False,19
0,15,8,Chicago,141,True,K3_FULL,13179,2019-05-16 13:54:05,41.915689,,-87.6346,60614,Clark St & Lincoln Ave,,Clark St & Lincoln Ave,IN_SERVICE,1,In Service,False,23
0,18,12,Chicago,142,True,K3_FULL,15531,2019-05-16 13:56:41,41.894503,660 N McClurg Ct,-87.617854,60611,McClurg Ct & Erie St,,McClurg Ct & Erie St,IN_SERVICE,1,In Service,False,31
0,5,9,Chicago,143,True,K3_FULL,13191,2019-05-16 13:56:47,41.922167,,-87.638888,60614,Sedgwick St & Webster Ave,,Sedgwick St & Webster Ave,IN_SERVICE,1,In Service,False,15
0,3,16,Chicago,144,True,K3_FULL,13193,2019-05-16 13:54:24,41.921822,,-87.64414,60614,Larrabee St & Webster Ave,,Larrabee St & Webster Ave,IN_SERVICE,1,In Service,False,19
0,13,6,Chicago,145,True,K3_FULL,15529,2019-05-16 13:55:42,41.8985866514,,-87.6219152258,60611,Mies van der Rohe Way & Chestnut St,,Mies van der Rohe Way & Chestnut St,IN_SERVICE,1,In Service,False,19
0,6,13,Chicago,146,True,K3_FULL,13206,2019-05-16 13:55:49,41.877945,,-87.662007,60607,Loomis St & Jackson Blvd,,Loomis St & Jackson Blvd,IN_SERVICE,1,In Service,False,19
0,1,14,Chicago,147,True,K3_FULL,13212,2019-05-16 13:55:32,41.845687,,-87.622481,60616,Indiana Ave & 26th St,,Indiana Ave & 26th St,IN_SERVICE,1,In Service,False,15
0,10,5,Chicago,148,True,K3_FULL,13216,2019-05-16 13:55:18,41.834734,,-87.625813,60616,State St & 33rd St,,State St & 33rd St,IN_SERVICE,1,In Service,False,15
0,0,11,Chicago,149,True,K3_FULL,13217,2019-05-16 13:54:09,41.8349,,-87.61793,60616,Calumet Ave & 33rd St,,Calumet Ave & 33rd St,IN_SERVICE,1,In Service,False,11
0,16,11,Chicago,150,True,K3_FULL,13220,2019-05-16 13:54:09,41.838556,,-87.608218,60616,Fort Dearborn Dr & 31st St,,Fort Dearborn Dr & 31st St,IN_SERVICE,1,In Service,False,27
0,7,8,Chicago,152,True,K3_FULL,13226,2019-05-16 13:55:35,41.932225,,-87.658617,60614,Lincoln Ave & Diversey Pkwy,,Lincoln Ave & Diversey Pkwy,IN_SERVICE,1,In Service,False,15
0,9,10,Chicago,153,True,K3_FULL,13228,2019-05-16 13:57:38,41.935733,,-87.663576,60657,Southport Ave & Wellington Ave,,Southport Ave & Wellington Ave,IN_SERVICE,1,In Service,False,19
0,8,7,Chicago,154,True,K3_FULL,13229,2019-05-16 13:57:25,41.93949,,-87.66378,60657,Southport Ave & Belmont Ave,,Southport Ave & Belmont Ave,IN_SERVICE,1,In Service,False,15
0,7,8,Chicago,156,True,K3_FULL,13232,2019-05-16 13:55:50,41.9364968219,,-87.6475386582,60657,Clark St & Wellington Ave,,Clark St & Wellington Ave,IN_SERVICE,1,In Service,False,15
0,4,11,Chicago,157,True,K3_FULL,13234,2019-05-16 13:54:59,41.936669,,-87.636794,60657,Lake Shore Dr & Wellington Ave,,Lake Shore Dr & Wellington Ave,IN_SERVICE,1,In Service,False,15
0,6,9,Chicago,158,True,K3_FULL,13243,2019-05-16 13:57:16,41.912616,,-87.681391,60647,Milwaukee Ave & Wabansia Ave,,Milwaukee Ave & Wabansia Ave,IN_SERVICE,1,In Service,False,15
